89,"Nothing can stop Iran’s World Cup heroes. Except war, of course…","The 'Persian Leopards' are going great guns on the football field, but at 
nuclear talks in Vienna a far more dangerous game is being played.",The Guardian,28 Nov 2021,Iran
90,As the West jaw-jaws Iran dreams of war-war,"As the West jaw-jaws Iran dreams of war-war. Tehran's nuclear capability is 
growing fast but its missiles may turn out to be a bigger threat.",The Times,18 Jan 2022,Iran
91,"Tensions rising between U.S. and Iran, New Year’s seen as potential 
flashpoint","The Israeli strike targeted a shipment of advanced missile parts intended 
for Iranian-backed groups operating in Syria. The U.S. military had...",NBC News,20 Dec 2021,Iran
92,Iranian war games on the border with Azerbaijan were really a ...,"Contrary to expectations, during the war, Iran provided political and 
military support to Azerbaijan—due to Iran's sizeable Azeri minority...",Atlantic Council,8 Oct 2021,Iran
93,Iran holds mass funeral for '80s war dead amid nuclear talks,"Thousands of mourners have poured into the streets of Iranian cities for 
the mass funeral of 250 victims of the Iran-Iraq war — remains...",ABC News,6 Jan 2022,Iran
94,Analysis | Understanding the Shadow War Between Israel and ...,"Iranian leaders periodically vow to annihilate Israel and are suspected of 
pursuing nuclear weapons that would back the threat. Israel, which is...",The Washington Post,2 Nov 2021,Iran
95,How Iran Helped Houthis Expand Their Reach,"As a result, the impact of the Iranian-Houthi partnership will ... March 
2015 when Saudi Arabia launched a military intervention in Yemen,...",War on the Rocks,23 Aug 2021,Iran
96,"New Missiles, New Risks: The Escalatory Implications of Iran's ...","Iran has expanded the types and deployments of precision-strike weapons 
across all of its military services. As a result, these weapons form a...",War on the Rocks,14 Jan 2022,Iran
97,"Former UK army chief Sir Nick Carter says war against Iran would be failure 
of statecraft","Waging a war against Iran because of its controversial nuclear programme 
will be a failure of statecraft, the former head of the British...",The National,12 Jan 2022,Iran
98,Israel-Iran drone war goes ballistic: a timeline,"An unmanned aircraft is launched during a military exercise in an 
undisclosed location in Iran, ... Israel and Iran's drone war has seen a 
sharp...",Haaretz,1 month ago,Iran
99,"In 2022, Iraq Expected to Struggle for Sovereignty Amid Tug of War","Iran, the United States and Gulf Arab states are increasingly engaged ... 
Iraqi sovereignty in the context of this geopolitical tug of war.",Voice of America,26 Dec 2021,Iran
100,"Iranian commander says Israel can start the war, but Iran will ...","DUBAI, Nov 11 (Reuters) - A top Iranian commander said on Thursday that if 
Israel starts a war, Iran will be the one to end it.",Reuters,11 Nov 2021,Iran
101,Azerbaijan retakes offensive in rhetorical war with Iran,"The report claimed that Iranian armed forces had briefly crossed the 
Azerbaijani border during last year's war with Armenia, sparking a 
military...",Eurasianet,12 Oct 2021,Iran
102,"Despite UAE visit, Bennett unlikely to find backers for Iran war","Just like Bennett presumably sought to persuade his host to join the 
military threat against Iran, Mohammed bin Zayed presumably sought to...",Haaretz,13 Dec 2021,Iran
103,The Next Phase of the War in Ukraine,"The Next Phase of the War in Ukraine. Moscow has narrowed its goals. What 
does that tell us about Russia's military? April 13, 2022.",The New York Times,4 weeks ago,Iran
104,Why Iran and Hezbollah are quietly applauding Putin's war on ...,"Iran and Hezbollah are officially neutral on Russia's invasion of Ukraine, 
not expressing official support for Moscow or for Kyiv.",Haaretz,10 Mar 2022,Iran
105,American Military Diffidence Handed Iran the Bomb,"Trump shortened the timeline. Surgical military strikes no longer can block 
Iran's path to the bomb. A large, declared facility equipped with...",The Wall Street Journal,23 Feb 2022,Iran
106,Peace With Iran Requires the Threat to Use Force,"Although they reject the Iranian justification of actions that move Iran 
toward a nuclear weapon, Biden administration officials told the...",Foreign Policy,27 Oct 2021,Iran
107,"Iran is 'leapfrogging our defenses' in a cyber war 'my gut is we lose': 
Hacking expert Kevin Mandia","Iran is 'leapfrogging our defenses' in a cyber war 'my gut is we lose': 
Hacking expert Kevin Mandia. Published Thu, Nov 18 20213:04 PM EST...",CNBC,18 Nov 2021,Iran
108,"Iran welcomes Syria ties with Arabs, says nuclear deal close","DAMASCUS, Syria -- The foreign ministers of Iran and Syria, two allies of 
Russia, discussed the war in Ukraine and other developments during...",ABC News,1 month ago,Iran
109,Understanding the Shadow War Between Israel and Iran,"Of the many conflicts in the Middle East, the one between Iran and Israel 
is the most potentially explosive. Iranian leaders periodically...",Bloomberg.com,4 Aug 2021,Iran
110,"Iran nuclear issue ‘on steroids’ after Ukraine war, Israeli ex-intel chief 
says","Putin could adopt increasingly brutal tactics in Ukraine and a military 
strike should be a 'last resort' against Iran, Israel's former...",Haaretz,1 month ago,Iran
111,When Iran counterstrikes Mossad in secret war - analysis,"A SATELLITE view of Iran's Fordow nuclear plant. (photo credit: GOOGLE). 
Even the legendary spy agency has screw-ups, which may have happened...",The Jerusalem Post,1 month ago,Iran
112,US seeks to ‘weaken’ Russia as it pledges more military help for Ukraine,"The war Russian President Vladimir Putin launched on February 24 is turning 
into a self-fulfilling prophecy, as NATO reinforces its presence on...",POLITICO,2 weeks ago,Iran
113,Biden’s Moment of Truth in Iran,"If and when it does, the president should order military strikes on Iran's 
nuclear facilities to prevent Tehran from building the bomb. The best...",The Wall Street Journal,6 Jan 2022,Iran
114,An escalating Israel-Iran conflict could sink the JCPOA,"What used to be a shadow war of covert operations, sabotage, and proxy 
conflict is turning into more direct military confrontation between the...",Atlantic Council,1 Sep 2021,Iran
115,What about Iran? Ukraine-Russia war disrupts Israel's ...,"Ukraine-Russia War Disrupts Israel's Attention Span. The Israeli silence as 
Iran nuke talks continue signals that Jerusalem has accepted a new...",Haaretz,12 Mar 2022,Iran
116,"As Russia and China distract US, Middle East powers redraw alliances","... Fearing an Iran emboldened by a revived nuclear deal, US allies are 
refusing to join the alliance against Moscow and have rolled out the...",South China Morning Post,1 month ago,Iran
117,How war in Ukraine increases Iran’s threat to Israel - analysis,"There is a chance that the war in and US focus on Ukraine could lead Iran 
to believe it can exploit this chaotic time to encourage its proxies...",The Jerusalem Post,24 Feb 2022,Iran
118,Does Iran Actually Want to Rejoin the Nuclear Deal?,"The United States, Iran, and other world powers are in the midst of 
negotiations over reviving the 2015 nuclear agreement, officially known...",War on the Rocks,29 Jun 2021,Iran
119,War still rages in Syrian border town at heart of Iran’s regional ambition,"The targets are sites linked to Iranian-backed militia groups, which use 
the town to move weaponry and money from Iraq into Syria. Al-Bukamal...",The Guardian,9 Oct 2021,Iran
120,Taliban Reportedly Deliver American Military Hardware To Iran,"Reports and images on social media received from Iran indicate that tanks 
and military vehicles which belonged to the Afghan army were seen...",Iran International,1 Sep 2021,Iran
121,"Iran-Backed Militia Pledges ‘Open War’ With the U.S. Following Airstrike in 
Iraq","Iran-Backed Militia Pledges 'Open War' With the U.S. Following Airstrike in 
Iraq. An airstrike against Iranian-backed militia's drone bases in...",USNews.com,28 Jun 2021,Iran
122,Undeclared conflict? America's battles with Iran-backed militia ...,"""It's hard to argue, given the pace of attacks against U.S. troops and, 
now, the increasing frequency of our responses, this isn't war,"" Senator...",Reuters,29 Jun 2021,Iran
123,Biden Notifies Congress About Airstrikes on Iran-Backed Militias,"The notification, in compliance with the War Powers Act, came as Mr. Biden 
drew criticism over the strikes from some in his own party — both...",The New York Times,29 Jun 2021,Iran
124,'Iran stands against Russia's war' - Ukraine FM,"Iran is against Russia's invasion of Ukraine and supports a diplomatic 
resolution to the conflict, Iranian Foreign Minister Amir Abdollahian...",The Jerusalem Post,4 weeks ago,Iran
125,Sweden: Iran War Crimes Trial Opens,"On July 27, Swedish prosecutors announced their decision to prosecute an 
Iranian citizen for “committing grave war crimes and murder in Iran...",Human Rights Watch,9 Aug 2021,Iran
126,"Bennett flies to Moscow, meets with Putin about Ukraine war, Iran nuke talks","Bennett flies to Moscow, meets with Putin about Ukraine war, Iran nuke 
talks. Orthodox PM makes rare trip on Shabbat to meet with Russian leader...",The Times of Israel,5 Mar 2022,Iran
127,"America's wild 'World War III' plan for Iran, and Israel's part in it ...","The Pentagon's top strategists, in concert with their Israeli peers, 
prepared for an almost apocalyptic war in Iran in the 1980s,...",Haaretz,20 Jan 2022,Iran
128,Ukraine War A Lesson to Iran: General,"TEHRAN (Tasnim) – A top Iranian military commander referred to the war on 
Ukraine as a salutary lesson that abandoning deterrent power will...",Tasnim News Agency,28 Feb 2022,Iran
129,"Iran warns of ""heavy price"" after report of U.S.-Israeli military ...","""Providing conditions for military commanders to test Iranian missiles with 
real targets will cost the aggressors a heavy price,"" Nournews,...",Reuters,11 Dec 2021,Iran
130,Intercepted: Iranian Dual Nationals Now Labeled Terrorists ...,"The IRGC is an elite branch of Iran's military, and it's highly unusual for 
the U.S. to officially label a foreign government's military...",The Intercept,1 month ago,Iran
131,"Yemen: talks between Saudi Arabia and Iran offer hopes for an end to bitter 
seven-year civil war","In Yemen the Saudi-backed Hadi military coalition has been at war with the 
Houthi rebel movement which receives funding from Iran but honed...",The Conversation,8 Oct 2021,Iran
132,Israel Isn't Strong Enough to Attack Iran,"The political and military constraints on Israeli decision-makers suggests 
such a military showdown is highly unlikely. To speak of an imminent...",Foreign Policy,17 Sep 2021,Iran
